age,income,loan_amount,credit_score,employment_years,education,city,approved
49.0,34397.0,10240.0,603.0,0.0,master,Pokhara,0
41.0,61555.0,48221.0,679.0,10.0,high_school,Lalitpur,1
51.0,66959.0,15478.0,709.0,7.0,high_school,Pokhara,1
32.0,20728.0,50162.0,387.0,9.0,master,Kathmandu,1
49.0,70517.0,24262.0,483.0,6.0,master,Kathmandu,1
46.0,86234.0,58295.0,549.0,2.0,master,Kathmandu,1
54.0,59954.0,57796.0,,2.0,high_school,Lalitpur,0
22.0,67280.0,9432.0,652.0,17.0,high_school,Lalitpur,1
48.0,99459.0,34721.0,695.0,4.0,master,Biratnagar,1
34.0,36779.0,18568.0,651.0,11.0,bachelor,Lalitpur,1
24.0,83932.0,19178.0,712.0,11.0,master,Kathmandu,1
27.0,,55428.0,745.0,18.0,bachelor,Kathmandu,0
29.0,44466.0,27195.0,567.0,5.0,bachelor,Lalitpur,0
48.0,56939.0,5302.0,490.0,1.0,master,Pokhara,0
30.0,89896.0,22022.0,453.0,11.0,master,Lalitpur,1
54.0,55270.0,5055.0,795.0,18.0,master,Lalitpur,1
45.0,79163.0,50781.0,559.0,4.0,high_school,Kathmandu,1
36.0,71934.0,13717.0,460.0,11.0,bachelor,Biratnagar,1
53.0,84895.0,33699.0,453.0,16.0,high_school,Kathmandu,1
53.0,52307.0,13150.0,665.0,16.0,high_school,Biratnagar,1
45.0,74098.0,7125.0,520.0,9.0,master,Kathmandu,1
33.0,80921.0,49247.0,705.0,16.0,high_school,Lalitpur,1
23.0,25486.0,53513.0,673.0,14.0,master,Kathmandu,1
24.0,28335.0,21748.0,482.0,11.0,bachelor,Kathmandu,1
38.0,31130.0,44577.0,725.0,15.0,master,Kathmandu,1
23.0,80566.0,9621.0,642.0,18.0,high_school,Lalitpur,1
23.0,86703.0,20034.0,677.0,7.0,high_school,Lalitpur,1
49.0,47192.0,51391.0,476.0,16.0,master,Lalitpur,1
44.0,21062.0,10126.0,455.0,4.0,master,Lalitpur,0
53.0,41545.0,10122.0,441.0,15.0,high_school,Biratnagar,1
54.0,41689.0,23030.0,636.0,5.0,bachelor,Biratnagar,1
22.0,31174.0,22302.0,727.0,7.0,bachelor,Pokhara,1
40.0,29348.0,24181.0,742.0,17.0,master,Lalitpur,1
23.0,43714.0,43638.0,400.0,11.0,bachelor,Biratnagar,1
47.0,,6531.0,378.0,14.0,high_school,Kathmandu,0
53.0,94460.0,45940.0,645.0,8.0,master,Lalitpur,1
27.0,26801.0,57497.0,646.0,12.0,high_school,Pokhara,1
53.0,92267.0,45441.0,563.0,14.0,high_school,Pokhara,1
25.0,68136.0,28333.0,616.0,9.0,bachelor,Pokhara,1
32.0,43625.0,44650.0,756.0,15.0,master,Kathmandu,1
38.0,92592.0,39674.0,606.0,6.0,master,Biratnagar,1
45.0,97052.0,40854.0,651.0,16.0,bachelor,Kathmandu,1
26.0,64261.0,51271.0,450.0,6.0,high_school,Lalitpur,0
27.0,21542.0,13152.0,754.0,13.0,high_school,Pokhara,1
43.0,41677.0,43518.0,695.0,14.0,high_school,Kathmandu,1
32.0,66732.0,50540.0,459.0,6.0,high_school,Kathmandu,1
37.0,70343.0,15267.0,769.0,8.0,master,Biratnagar,1
54.0,,30289.0,531.0,18.0,master,Biratnagar,0
30.0,82856.0,6062.0,662.0,15.0,bachelor,Pokhara,1
,39065.0,56128.0,350.0,7.0,bachelor,Kathmandu,1
,74693.0,55448.0,668.0,17.0,master,Kathmandu,1
50.0,46962.0,34926.0,787.0,17.0,master,Biratnagar,1
24.0,48295.0,11229.0,404.0,19.0,high_school,Kathmandu,1
41.0,33807.0,54277.0,,6.0,high_school,Kathmandu,0
40.0,62348.0,52915.0,773.0,2.0,bachelor,Kathmandu,1
47.0,46432.0,9632.0,748.0,17.0,master,Biratnagar,1
24.0,77854.0,44056.0,498.0,9.0,bachelor,Pokhara,1
40.0,60262.0,8596.0,780.0,6.0,master,Lalitpur,1
41.0,57080.0,49243.0,658.0,16.0,high_school,Pokhara,1
53.0,21324.0,11168.0,486.0,13.0,bachelor,Lalitpur,1
28.0,55909.0,47563.0,551.0,2.0,bachelor,Kathmandu,1
54.0,39870.0,12561.0,785.0,11.0,master,Pokhara,1
39.0,54578.0,13258.0,662.0,12.0,high_school,Lalitpur,1
22.0,92124.0,21616.0,466.0,1.0,bachelor,Biratnagar,1
32.0,46790.0,31734.0,503.0,2.0,high_school,Biratnagar,1
49.0,45289.0,11371.0,774.0,4.0,bachelor,Pokhara,1
46.0,75129.0,58358.0,640.0,10.0,high_school,Pokhara,1
44.0,35485.0,31069.0,412.0,7.0,master,Kathmandu,1
52.0,64482.0,19369.0,593.0,11.0,bachelor,Pokhara,1
51.0,24748.0,17910.0,374.0,6.0,bachelor,Kathmandu,0
28.0,29435.0,12943.0,439.0,14.0,high_school,Kathmandu,1
37.0,23709.0,17199.0,424.0,16.0,high_school,Biratnagar,1
47.0,50355.0,20728.0,643.0,3.0,bachelor,Biratnagar,1
23.0,75771.0,28275.0,735.0,12.0,master,Lalitpur,1
22.0,77799.0,11738.0,740.0,17.0,high_school,Biratnagar,1
33.0,33116.0,20913.0,559.0,0.0,high_school,Biratnagar,0
26.0,45470.0,40240.0,767.0,15.0,high_school,Pokhara,1
53.0,62344.0,24123.0,696.0,12.0,bachelor,Biratnagar,1
30.0,62918.0,59553.0,,9.0,bachelor,Lalitpur,0
40.0,72224.0,53447.0,477.0,11.0,bachelor,Pokhara,1
37.0,59298.0,39529.0,776.0,1.0,bachelor,Lalitpur,1
,81629.0,15167.0,792.0,2.0,master,Biratnagar,1
41.0,86040.0,15554.0,713.0,9.0,master,Lalitpur,1
45.0,48016.0,22260.0,600.0,1.0,bachelor,Pokhara,1
54.0,43960.0,52045.0,528.0,12.0,master,Kathmandu,1
45.0,53591.0,8812.0,531.0,12.0,high_school,Lalitpur,1
32.0,87641.0,33024.0,501.0,17.0,high_school,Lalitpur,1
29.0,56395.0,55612.0,374.0,2.0,high_school,Pokhara,0
41.0,42700.0,32285.0,529.0,6.0,bachelor,Pokhara,1
46.0,54620.0,31900.0,547.0,13.0,high_school,Lalitpur,1
46.0,40559.0,55885.0,693.0,19.0,master,Biratnagar,1
50.0,,6605.0,510.0,16.0,bachelor,Lalitpur,0
39.0,96539.0,10622.0,526.0,11.0,master,Pokhara,1
39.0,41732.0,11767.0,634.0,15.0,high_school,Kathmandu,1
23.0,50354.0,32139.0,412.0,11.0,high_school,Kathmandu,1
37.0,33843.0,16613.0,499.0,14.0,high_school,Biratnagar,1
54.0,,57669.0,503.0,9.0,bachelor,Lalitpur,0
25.0,37640.0,15589.0,505.0,6.0,master,Kathmandu,1
54.0,72528.0,18918.0,719.0,19.0,bachelor,Lalitpur,1
35.0,58413.0,25119.0,398.0,4.0,bachelor,Pokhara,1
42.0,72638.0,32446.0,686.0,0.0,high_school,Kathmandu,1
41.0,72736.0,18046.0,433.0,16.0,bachelor,Biratnagar,1
29.0,88866.0,29818.0,710.0,2.0,bachelor,Pokhara,1
28.0,39087.0,40358.0,526.0,12.0,high_school,Biratnagar,1
24.0,61430.0,55215.0,497.0,13.0,bachelor,Pokhara,1
38.0,44504.0,9324.0,467.0,17.0,high_school,Kathmandu,1
54.0,27114.0,15787.0,691.0,3.0,high_school,Biratnagar,1
33.0,98859.0,14111.0,412.0,17.0,high_school,Biratnagar,1
43.0,30975.0,43110.0,538.0,4.0,high_school,Pokhara,0
43.0,31023.0,21389.0,709.0,15.0,bachelor,Biratnagar,1
,41447.0,46427.0,398.0,0.0,high_school,Pokhara,0
29.0,43959.0,19043.0,676.0,13.0,high_school,Pokhara,1
48.0,86203.0,33746.0,606.0,14.0,bachelor,Pokhara,1
48.0,49703.0,27350.0,573.0,8.0,bachelor,Pokhara,1
42.0,29337.0,46605.0,490.0,14.0,master,Kathmandu,1
51.0,66427.0,5117.0,564.0,16.0,bachelor,Pokhara,1
54.0,81529.0,51685.0,784.0,3.0,bachelor,Lalitpur,1
49.0,,23935.0,728.0,11.0,master,Biratnagar,0
54.0,53307.0,52077.0,789.0,4.0,bachelor,Lalitpur,1
26.0,,18234.0,560.0,4.0,bachelor,Kathmandu,0
40.0,24835.0,43328.0,667.0,10.0,bachelor,Lalitpur,1
25.0,40159.0,58441.0,381.0,5.0,bachelor,Biratnagar,0
38.0,,5846.0,507.0,6.0,master,Lalitpur,0
49.0,58088.0,15954.0,634.0,13.0,bachelor,Kathmandu,1
51.0,98752.0,18703.0,654.0,10.0,bachelor,Pokhara,1
50.0,75284.0,53153.0,778.0,12.0,master,Lalitpur,1
27.0,77043.0,51514.0,635.0,1.0,high_school,Kathmandu,1
45.0,55547.0,27700.0,493.0,6.0,master,Kathmandu,1
50.0,47532.0,37043.0,773.0,19.0,high_school,Biratnagar,1
52.0,54349.0,11469.0,368.0,3.0,master,Biratnagar,0
54.0,65445.0,35105.0,367.0,7.0,master,Lalitpur,1
42.0,25713.0,47101.0,606.0,19.0,bachelor,Pokhara,1
53.0,76178.0,31386.0,427.0,18.0,high_school,Kathmandu,1
44.0,69407.0,54376.0,720.0,12.0,bachelor,Lalitpur,1
54.0,90340.0,50587.0,524.0,13.0,high_school,Kathmandu,1
,70990.0,41976.0,543.0,9.0,master,Kathmandu,1
39.0,95672.0,44051.0,462.0,10.0,master,Pokhara,1
46.0,85545.0,7048.0,463.0,1.0,high_school,Pokhara,1
52.0,78141.0,44001.0,571.0,8.0,bachelor,Lalitpur,1
24.0,43793.0,17941.0,515.0,16.0,bachelor,Pokhara,1
45.0,76570.0,50375.0,784.0,2.0,bachelor,Pokhara,1
,57892.0,47533.0,668.0,5.0,bachelor,Lalitpur,1
43.0,21015.0,6828.0,481.0,4.0,master,Pokhara,0
44.0,81813.0,6917.0,734.0,4.0,master,Biratnagar,1
23.0,47712.0,25618.0,613.0,14.0,master,Kathmandu,1
48.0,28415.0,37254.0,,16.0,master,Kathmandu,0
23.0,82292.0,44756.0,404.0,8.0,master,Kathmandu,1
47.0,43833.0,56178.0,708.0,2.0,bachelor,Kathmandu,1
38.0,24158.0,52362.0,480.0,19.0,bachelor,Lalitpur,1
54.0,82680.0,25128.0,637.0,16.0,bachelor,Kathmandu,1
30.0,40309.0,50745.0,615.0,9.0,bachelor,Kathmandu,1
50.0,26970.0,5009.0,715.0,2.0,master,Kathmandu,0
47.0,92474.0,21644.0,511.0,17.0,master,Kathmandu,1
46.0,66540.0,27422.0,729.0,17.0,master,Biratnagar,1
45.0,40384.0,14865.0,436.0,16.0,high_school,Kathmandu,1
34.0,38017.0,7219.0,,2.0,bachelor,Biratnagar,0
28.0,95880.0,44809.0,637.0,2.0,bachelor,Lalitpur,1
41.0,28702.0,56212.0,527.0,5.0,master,Pokhara,0
22.0,20384.0,10287.0,740.0,12.0,bachelor,Kathmandu,1
29.0,20404.0,39387.0,698.0,14.0,bachelor,Pokhara,1
37.0,60943.0,13512.0,357.0,8.0,master,Pokhara,1
35.0,67926.0,6342.0,670.0,3.0,high_school,Lalitpur,1
33.0,49189.0,48336.0,662.0,13.0,high_school,Pokhara,1
44.0,32763.0,24216.0,596.0,4.0,high_school,Biratnagar,0
36.0,38384.0,56976.0,672.0,1.0,master,Pokhara,1
49.0,80100.0,56146.0,792.0,10.0,bachelor,Pokhara,1
23.0,29860.0,32534.0,604.0,8.0,master,Pokhara,1
53.0,70612.0,19231.0,677.0,2.0,master,Kathmandu,1
44.0,43574.0,37293.0,403.0,8.0,bachelor,Kathmandu,1
43.0,43524.0,31614.0,598.0,2.0,high_school,Biratnagar,1
46.0,89172.0,41258.0,588.0,1.0,high_school,Biratnagar,1
43.0,30916.0,33253.0,578.0,11.0,master,Kathmandu,1
43.0,24809.0,47078.0,416.0,9.0,high_school,Biratnagar,0
27.0,52201.0,45752.0,400.0,8.0,master,Kathmandu,1
36.0,73330.0,22988.0,,14.0,master,Lalitpur,0
54.0,33456.0,36037.0,441.0,7.0,bachelor,Pokhara,1
29.0,76397.0,17219.0,613.0,4.0,bachelor,Pokhara,1
26.0,58765.0,5235.0,767.0,10.0,bachelor,Biratnagar,1
25.0,54816.0,47929.0,640.0,1.0,master,Kathmandu,1
27.0,65106.0,6908.0,445.0,14.0,bachelor,Kathmandu,1
53.0,73932.0,13567.0,437.0,5.0,high_school,Biratnagar,1
51.0,37100.0,41298.0,427.0,7.0,high_school,Kathmandu,1
37.0,77091.0,10256.0,637.0,4.0,master,Lalitpur,1
34.0,41949.0,24019.0,469.0,15.0,master,Pokhara,1
51.0,90080.0,13162.0,651.0,17.0,bachelor,Biratnagar,1
22.0,77799.0,11738.0,740.0,17.0,high_school,Biratnagar,1
48.0,99459.0,34721.0,695.0,4.0,master,Biratnagar,1
28.0,29435.0,12943.0,439.0,14.0,high_school,Kathmandu,1
54.0,72528.0,18918.0,719.0,19.0,bachelor,Lalitpur,1
50.0,81476.0,56745.0,592.0,12.0,master,Biratnagar,1
29.0,44466.0,27195.0,567.0,5.0,bachelor,Lalitpur,0
54.0,39870.0,12561.0,785.0,11.0,master,Pokhara,1
38.0,40764.0,22144.0,638.0,11.0,master,Kathmandu,1
37.0,60943.0,13512.0,357.0,8.0,master,Pokhara,1
45.0,55547.0,27700.0,493.0,6.0,master,Kathmandu,1
