title,link,posted_at,source
धौवादी फलामखानीको थप अनुसन्धान हुँदै,https://ekantipur.com/news/2026/04/26/further-investigation-into-dhaubadi-iron-ore-mine-underway-27-23.html,2026-04-26T14:27:21+05:45,ekantipur
विकास निर्माणमा दररेट संशोधन गर्न पालिका प्रमुखहरूको माग,https://ekantipur.com/lumbini-pradesh/2026/04/26/municipal-heads-demand-revision-of-rates-for-development-projects-24-47.html,2026-04-26T14:24:45+05:45,ekantipur
गल्छी-रसुवागढी सडकका अतिक्रमित संरचना हटाउन सुरू,https://ekantipur.com/bagmati-pradesh/2026/04/26/removal-of-encroached-structures-on-galchhi-rasuwagadhi-road-begins-20-55.html,2026-04-26T14:20:52+05:45,ekantipur
"कोलम्बियामा बम आक्रमण : ७ जनाको मृत्यु, २० भन्दा बढी घाइते",https://ekantipur.com/world/2026/04/26/bomb-attack-in-colombia-7-dead-more-than-20-injured-44-18.html,2026-04-26T13:44:15+05:45,ekantipur
अत्यधिक गर्मीले जनजीवन प्रभावित,https://ekantipur.com/lumbini-pradesh/2026/04/26/extreme-heat-affects-public-life-19-32.html,2026-04-26T13:19:30+05:45,ekantipur
"गण्डक नहर क्षेत्रको अतिक्रमण हटाइयो, ३२५ संरचना भत्काइए",https://ekantipur.com/madhesh-pradesh/2026/04/26/encroachments-in-gandak-canal-area-removed-325-structures-demolished-04-57.html,2026-04-26T13:04:55+05:45,ekantipur
विश्वकै प्रदूषित सहर काठमाडौं [तस्बिरहरू],https://ekantipur.com/news/2026/04/26/kathmandu-the-most-polluted-city-in-the-world-photos-53-02.html,2026-04-26T12:54:40+05:45,ekantipur
सुन प्रतितोला २ हजार ७ सयले बढ्यो,https://ekantipur.com/business/2026/04/26/gold-increases-by-2700-rupees-per-tola-53-28.html,2026-04-26T12:53:26+05:45,ekantipur
बीपी राजमार्ग अवरुद्ध भएपछि वैकल्पिक रूपमा पुष्पलाल मार्ग प्रयोग गर्दै सवारीसाधन,https://ekantipur.com/bagmati-pradesh/2026/04/26/vehicles-using-pushpalal-road-as-an-alternative-after-bp-highway-was-blocked-48-58.html,2026-04-26T12:48:56+05:45,ekantipur
आहालको दलदलमा फसेको गैँडाको उद्धार,https://ekantipur.com/gandaki-pradesh/2026/04/26/rhino-trapped-in-ahal-swamp-rescued-38-25.html,2026-04-26T12:38:22+05:45,ekantipur
"खराब मौसमले त्रिभुवन विमानस्थलमा तीन अन्तर्राष्ट्रिय उडान डाइभर्ट, ६ सय यात्रु प्रभावित",https://ekantipur.com/news/2026/04/26/three-international-flights-diverted-at-tribhuvan-airport-due-to-bad-weather-600-passengers-affected-15-46.html,2026-04-26T12:18:38+05:45,ekantipur
बुटवलको दरबार मार्गमा चल्यो डोजर,https://ekantipur.com/lumbini-pradesh/2026/04/26/dozer-runs-on-durbar-marg-in-butwal-11-28.html,2026-04-26T12:11:26+05:45,ekantipur
मन्त्रालयले सरुवा गरेको तीन महिना नाघ्दा पनि हाजिर न कारबाही,https://ekantipur.com/madhesh-pradesh/2026/04/26/ministry-takes-action-for-non-attendance-even-after-three-months-of-transfer-50-34.html,2026-04-26T11:50:32+05:45,ekantipur
हावाहुरीले थाहा नगरपालिकामा १० घरको छाना उडायो,https://ekantipur.com/bagmati-pradesh/2026/04/26/storm-blows-off-roofs-of-10-houses-in-thaha-municipality-34-17.html,2026-04-26T11:34:14+05:45,ekantipur
एसियन बिच गेम्स : कबड्डीको सेमिफाइनलमा नेपाल र श्रीलंका भिड्दै,https://ekantipur.com/sports/2026/04/26/asian-beach-games-nepal-and-sri-lanka-to-clash-in-kabaddi-semi-finals-33-47.html,2026-04-26T11:33:44+05:45,ekantipur
हटाइँदै मनोहरा किनारको सुकुमवासी बस्ती [तस्बिरहरू],https://ekantipur.com/photo_feature/2026/04/26/slum-dwellers-on-manohara-coast-being-removed-photos-20-58.html,2026-04-26T11:24:24+05:45,ekantipur
चीनमा आयोजित कार्यक्रममा नेपालको ‘एक सुइरो चिया’प्रति आकर्षण,https://ekantipur.com/news/2026/04/26/attraction-towards-nepals-one-squirrel-tea-at-event-held-in-china-08-04.html,2026-04-26T11:08:01+05:45,ekantipur
"चट्याङ लागेर रोल्पामा एक जनाको मृत्यु, सर्लाहीमा एक घाइते, १५ चौपाया मरे",https://ekantipur.com/news/2026/04/26/one-person-dies-in-rolpa-one-injured-in-sarlahi-15-livestock-killed-by-lightning-41-56.html,2026-04-26T10:41:52+05:45,ekantipur
१९ सय प्रहरीको सुरक्षामा मनोहराको सुकुमवासी बस्ती भत्काउन सुरु,https://ekantipur.com/news/2026/04/26/demolition-of-manoharas-squatter-settlement-begins-under-the-protection-of-1900-police-officers-08-41.html,2026-04-26T10:12:55+05:45,ekantipur
सुकुमवासीको व्यवस्थापन मानवताका आधारमा हुनुपर्छ : भूगोलविद् निङ्लेखु,https://ekantipur.com/Interview/2026/04/26/slum-dwellers-should-be-managed-on-the-basis-of-humanity-sabin-ninglekhu-geographer-22-15.html,2026-04-26T09:47:31+05:45,ekantipur
बुटवलको दरबार मार्गमा धमाधम आफैं खाली गर्दै अतिक्रमित जग्गामा बनेका छाप्रा,https://ekantipur.com/lumbini-pradesh/2026/04/26/huts-built-on-encroached-land-are-being-vacated-on-durbar-marg-in-butwal-40-23.html,2026-04-26T09:40:20+05:45,ekantipur
"रोकिराखेको ट्रकमा स्कार्पियो ठोक्किँदा दुई जनाको मृत्यु, तीनजना घाइते",https://ekantipur.com/lumbini-pradesh/2026/04/26/two-killed-three-injured-as-scorpio-crashes-into-parked-truck-15-48.html,2026-04-26T09:15:45+05:45,ekantipur
"पत्रकारसँगको डिनर कार्यक्रममा गोली चल्यो, ट्रम्पलाई सुरक्षित रूपमा निकालियो",https://ekantipur.com/world/2026/04/26/shots-fired-at-dinner-with-journalists-trump-safely-evacuated-35-02.html,2026-04-26T08:40:56+05:45,ekantipur
निजामती विधेयकको मस्यौदा तयार,https://ekantipur.com/news/2026/04/26/draft-of-civil-service-bill-prepared-18-24.html,2026-04-26T08:32:58+05:45,ekantipur
५० हजार घुस लिएको आरोपमा कास्की प्रहरीका वरिष्ठ हवल्दार अख्तियारको नियन्त्रणमा,https://ekantipur.com/news/2026/04/26/senior-constable-of-kaski-police-under-ciaa-custody-on-charges-of-taking-bribe-of-rs-50000-16-08.html,2026-04-26T08:16:05+05:45,ekantipur
लोकतन्त्रलाई बलियो बनाउन कर्मचारीतन्त्रमा सुधार,https://ekantipur.com/opinion/2026/04/26/reforming-bureaucracy-to-strengthen-democracy-11-10.html,2026-04-26T07:11:08+05:45,ekantipur
‘प्रशासनको दलीयकरण अन्त्य गर्न कोसेढुंगा सावित हुन सक्छ’ : मन्त्री रावल,https://ekantipur.com/Interview/2026/04/26/this-could-prove-to-be-a-milestone-in-ending-partisanship-in-the-administration-pratibha-rawal-minister-23-14.html,2026-04-26T07:09:30+05:45,ekantipur
"सुकुमवासी व्यवस्थापन : मानवोचित व्यवहार गर, प्रक्रिया छिटो टुंग्याऊ",https://ekantipur.com/opinion/2026/04/26/squatter-management-treat-people-humanely-complete-the-process-quickly-57-58.html,2026-04-26T07:01:22+05:45,ekantipur
साउथह्याम्पटनलाई हराएर सिटी फाइनलमा,https://ekantipur.com/sports/2026/04/26/city-beat-southampton-to-reach-final-51-50.html,2026-04-26T06:51:47+05:45,ekantipur
विपन्न वर्गलाई दिइने बैंक कर्जा २० अर्बले घट्यो,https://ekantipur.com/business/2026/04/26/bank-loans-to-the-underprivileged-decreased-by-20-billion-44-18.html,2026-04-26T06:48:26+05:45,ekantipur
ऊर्जा मन्त्रालयले बनायो ऊर्जा खपत वृद्धि तथा निर्यात रणनीति मस्यौदा,https://ekantipur.com/business/2026/04/26/ministry-of-energy-drafts-energy-consumption-growth-and-export-strategy-47-28.html,2026-04-26T06:47:26+05:45,ekantipur
बार्सिलोना लिग उपाधि जित्ने संघारमा,https://ekantipur.com/sports/2026/04/26/barcelona-on-the-verge-of-winning-the-league-title-46-48.html,2026-04-26T06:46:46+05:45,ekantipur
आर्सनले फेरि अगाडि,https://ekantipur.com/sports/2026/04/26/arson-again-forward-34-36.html,2026-04-26T06:34:34+05:45,ekantipur
राहदानी जारी गर्न नमिल्ने कसुर सूचीमा सहकारी पनि थपिँदै,https://ekantipur.com/news/2026/04/26/cooperatives-are-being-added-to-the-list-of-offenses-that-prevent-the-issuance-of-passports-29-33.html,2026-04-26T06:34:21+05:45,ekantipur
"बत्ती दोलखामा, स्विच भारतमा",https://ekantipur.com/news/2026/04/26/the-light-is-in-dolakha-the-switch-is-in-india-28-00.html,2026-04-26T06:27:56+05:45,ekantipur
पश्चिमी वायुको प्रभावले केही स्थानमा वर्षा र हिमपातको सम्भावना,https://ekantipur.com/news/2026/04/26/rain-and-snowfall-likely-in-some-places-due-to-the-influence-of-westerly-winds-18-42.html,2026-04-26T06:18:38+05:45,ekantipur
"अमेरिकी डलरको मूल्यमा स्थिरता, यस्तो छ अन्य मुद्राको विनिमयदर",https://ekantipur.com/business/2026/04/26/stability-in-the-value-of-the-us-dollar-this-is-the-exchange-rate-of-other-currencies-14-50.html,2026-04-26T06:14:47+05:45,ekantipur
अन्ततः खोला किनार खाली,https://ekantipur.com/news/2026/04/26/finally-the-river-bank-cleared-12-53.html,2026-04-26T06:12:50+05:45,ekantipur
साहित्यकार सिन्धुलीयलाई भैरव अर्याल स्मृति साहित्य सम्मान,https://ekantipur.com/literature/2026/04/26/writer-sindhuliya-receives-bhairav-aryal-memorial-literary-award-30-40.html,2026-04-26T00:30:38+05:45,ekantipur
हातहातमा सामाजिक सुरक्षा भत्ता पाउँदा ज्येष्ठ नागरिक र अशक्तलाई सहज,https://ekantipur.com/lumbini-pradesh/2026/04/26/senior-citizens-and-the-disabled-will-benefit-from-receiving-social-security-allowances-in-their-hands-00-59.html,2026-04-26T00:03:24+05:45,ekantipur
[अर्काइभ] मेयरका उम्मेदवारबीच ‘फेस टू फेस’ : सुरा–सुन्दरीदेखि चन्दा असुलीसम्म बनेको थियो एजेन्डा...,https://ekantipur.com/Kantipur-Archive/2026/04/25/archive-face-to-face-between-mayoral-candidates-the-agenda-ranged-from-alcohol-and-beauty-to-fundraising-43-28.html,2026-04-25T23:44:59+05:45,ekantipur
कृषि विकास बैंक डोल्पा शाखाद्वारा दुई लाख बराबरको सहयोग,https://ekantipur.com/karnali-pradesh/2026/04/25/agricultural-development-bank-dolpa-branch-provides-assistance-worth-rs-200000-21-50.html,2026-04-25T23:24:07+05:45,ekantipur
संसदीय दलको नेता छान्न नसकेपछि गगन–विश्वमाथि नै प्रश्न,https://ekantipur.com/politics/2026/04/25/questions-on-gagan-bishv-after-failure-to-elect-parliamentary-party-leader-13-24.html,2026-04-25T23:01:47+05:45,ekantipur
"काठमाडौंका थापाथली, गैरीगाउँ र शान्तिनगरका सुकुमवासी बस्ती खाली गराइयो, १४४ परिवार सरकारको सम्पर्कमा",https://ekantipur.com/national/2026/04/25/slum-dwellers-in-thapathali-gairigaun-and-shantinagar-in-kathmandu-evacuated-144-families-in-contact-with-government-58-59.html,2026-04-25T22:58:57+05:45,ekantipur
वीरगन्जमा आँखाको 'केराटोकोनस'को सफल शल्यक्रिया,https://ekantipur.com/madhesh-pradesh/2026/04/25/successful-eye-surgery-for-keratoconus-in-birgunj-52-54.html,2026-04-25T22:58:11+05:45,ekantipur
नगरपालिकाको १० लाख बजेटमा जनप्रतिनिधि र पत्रकारको टोली भ्रमणमा,https://ekantipur.com/koshi-pradesh/2026/04/25/a-team-of-public-representatives-and-journalists-are-on-a-tour-with-a-budget-of-rs-1-million-for-the-municipality-43-14.html,2026-04-25T22:53:04+05:45,ekantipur
"बालेनको समय : कति सहज, कति असहज ?",https://ekantipur.com/opinion/2026/04/25/balens-time-how-comfortable-how-uncomfortable-39-30.html,2026-04-25T22:39:29+05:45,ekantipur
जब सुकुमवासी बस्तीमा डोजर चल्यो,https://ekantipur.com/news/2026/04/25/the-dozer-has-been-running-since-morning-03-02.html,2026-04-25T22:28:50+05:45,ekantipur
अमेरिकी वार्ता टोलीको इस्लामावाद भ्रमण स्थगित,https://ekantipur.com/world/2026/04/25/us-negotiating-teams-visit-to-islamabad-postponed-26-52.html,2026-04-25T22:26:50+05:45,ekantipur
"सुकुमवासी बस्तीमा डोजर : काठमाडौंमा शान्तिपूर्ण, भक्तपुरमा झडप",https://ekantipur.com/news/2026/04/25/bulldozers-in-squatter-settlements-peaceful-in-kathmandu-clashes-in-bhaktapur-51-00.html,2026-04-25T22:09:17+05:45,ekantipur
कर्पोरेट टी–१० क्रिकेट लिगको तयारी पूरा,https://ekantipur.com/sports/2026/04/25/preparations-for-corporate-t-10-cricket-league-complete-04-00.html,2026-04-25T22:03:57+05:45,ekantipur
छात्रछात्रा हक्कीमा  कालिकालाई दोहोरो उपाधि,https://ekantipur.com/sports/2026/04/25/kalika-wins-double-title-in-womens-hockey-50-47.html,2026-04-25T21:50:44+05:45,ekantipur
उमा कुङफुले मनायो विश्व ताइची दिवस,https://ekantipur.com/sports/2026/04/25/uma-kungfu-celebrated-world-tai-chi-day-31-09.html,2026-04-25T21:31:06+05:45,ekantipur
एकै परिवारका तीन खेलाडी सम्मानित,https://ekantipur.com/sports/2026/04/25/three-players-from-the-same-family-honored-18-59.html,2026-04-25T21:18:57+05:45,ekantipur
कार्ल्सबर्ग गल्फ क्लासिकमा तेन्जिङ विजयी,https://ekantipur.com/sports/2026/04/25/tenzing-wins-carlsberg-golf-classic-14-48.html,2026-04-25T21:14:46+05:45,ekantipur
२०३० सम्ममा विश्वकै टप टेन अटोमेकर बन्ने चांगान ग्रुपको लक्ष्य,https://ekantipur.com/market/2026/04/25/changan-group-aims-to-become-a-top-ten-automaker-in-the-world-by-2030-03-12.html,2026-04-25T21:03:10+05:45,ekantipur
केन्टका एअर कुलर तथा फ्यान,https://ekantipur.com/market/2026/04/25/kentka-air-coolers-and-fans-02-01.html,2026-04-25T21:01:58+05:45,ekantipur
होन्डाका दुई प्रिमियम सर्भिस सेन्टर,https://ekantipur.com/market/2026/04/25/hondas-two-premium-service-centers-00-40.html,2026-04-25T21:00:38+05:45,ekantipur
चितवनमा कजारियाको नयाँ शोरुम,https://ekantipur.com/market/2026/04/25/kajarias-new-showroom-in-chitwan-57-45.html,2026-04-25T20:57:42+05:45,ekantipur
ओप्पो ए६एक्स अब नेपालमा,https://ekantipur.com/market/2026/04/25/oppo-a6x-now-in-nepal-56-35.html,2026-04-25T20:56:33+05:45,ekantipur
सिटिजन्स बैंकका २० लाख ग्राहक,https://ekantipur.com/market/2026/04/25/citizens-bank-has-2-million-customers-55-27.html,2026-04-25T20:55:25+05:45,ekantipur
सुदूरपश्चिम प्रदेशसभाको बजेट अधिवेशन आह्वान,https://ekantipur.com/sudurpaschim-pradesh/2026/04/25/far-western-provincial-assemblys-budget-session-called-40-06.html,2026-04-25T20:40:03+05:45,ekantipur
मनाेहराको सुकुमवासी बस्तीमा ढुंगामुढा : डीएसपीसहित १४ जना घाइते,https://ekantipur.com/national/2026/04/25/stone-pelting-in-manoharas-sukumvasi-settlement-14-people-including-dsp-injured-update-29-00.html,2026-04-25T20:28:58+05:45,ekantipur
"मनाेहराको सुकुमवासी बस्ती हटाउने क्रममा ढुंगामुढा, डीएसपीसहित ४ जना घाइते",https://ekantipur.com/national/2026/04/25/four-people-including-a-dsp-injured-in-landslide-during-eviction-of-squatter-settlements-in-manohara-03-19.html,2026-04-25T20:03:17+05:45,ekantipur
मच्छिन्द्रले चुम्यो इलाम गोल्डकपको उपाधि,https://ekantipur.com/sports/2026/04/25/machhindra-wins-ilam-gold-cup-title-00-53.html,2026-04-25T20:00:51+05:45,ekantipur
"विभिन्न जिल्लामा भारी वर्षा, अझै बदली हुने",https://ekantipur.com/news/2026/04/25/heavy-rain-in-various-districts-cloudy-conditions-remain-15-08.html,2026-04-25T19:15:05+05:45,ekantipur
थापाथलीका ६८ परिवार सरकारको सम्पर्कमा,https://ekantipur.com/news/2026/04/25/68-families-from-thapathali-in-contact-with-government-10-27.html,2026-04-25T19:10:25+05:45,ekantipur
इरानका विदेशमन्त्री र पाकिस्तानी प्रधानमन्त्रीबीच भेटवार्ता,https://ekantipur.com/world/2026/04/25/iranian-foreign-minister-meets-pakistani-prime-minister-10-06.html,2026-04-25T19:10:03+05:45,ekantipur
अनिश्चयमा फसे अमेरिकालाई सहयोग गर्ने अफगानी,https://ekantipur.com/world/2026/04/25/afghans-who-helped-america-are-caught-in-uncertainty-56-16.html,2026-04-25T18:56:14+05:45,ekantipur
वीरगन्ज नाकाबाट इन्धन आयातमै बाहिरियो १ खर्ब ४८ अर्ब,https://ekantipur.com/business/2026/04/25/148-billion-rupees-worth-of-fuel-was-exported-from-birgunj-border-29-42.html,2026-04-25T18:29:40+05:45,ekantipur
मनोहरा सुकुमवासी बस्तीमा पनि चल्यो डोजर,https://ekantipur.com/national/2026/04/25/dozers-also-used-in-manohara-sukumvasi-settlement-28-53.html,2026-04-25T18:28:47+05:45,ekantipur
"बीपी राजमार्गमा आवागमन बन्द, सवारी साधन होल्ड",https://ekantipur.com/bagmati-pradesh/2026/04/25/traffic-on-bp-highway-closed-vehicles-held-16-16.html,2026-04-25T18:16:14+05:45,ekantipur
मलेसियामा मृत्यु भएका मञ्जय सदाको शव कम्पनीकै खर्चमा नेपाल ल्याइने,https://ekantipur.com/madhesh-pradesh/2026/04/25/the-body-of-manjay-sada-who-died-in-malaysia-will-be-brought-to-nepal-at-the-companys-expense-51-02.html,2026-04-25T17:51:00+05:45,ekantipur
"थापाथली र गैरीगाउँबाट विस्थापित ५५ परिवार महानगरको सम्पर्कमा, कीर्तिपुर सारिँदै",https://ekantipur.com/news/2026/04/25/55-displaced-families-from-thapathali-and-gairigaun-in-touch-with-the-metropolis-being-moved-to-kirtipur-35-34.html,2026-04-25T17:35:32+05:45,ekantipur
"सय रुपैयाँभन्दा बढीको सामानमा भन्सार महसुल: सीमावर्ती नेपाली व्यवसायी उत्साहित, खुकुलो बनाउन स्थानीयको माग",https://ekantipur.com/business/2026/04/25/nepali-businessmen-at-border-get-excited-after-customs-clears-goods-worth-over-rs-100-27-30.html,2026-04-25T17:27:10+05:45,ekantipur
यूएईमाथि नेपालको सनसनी जित,https://ekantipur.com/sports/2026/04/25/nepals-sensational-victory-over-uae-25-43.html,2026-04-25T17:25:40+05:45,ekantipur
हिन्दुकुश क्षेत्रमा हिउँको तह २७.८ प्रतिशतले घट्यो,https://ekantipur.com/news/2026/04/25/snow-cover-in-hindu-kush-region-decreases-by-278-percent-16-44.html,2026-04-25T17:16:42+05:45,ekantipur
"बागमती सिँचाइको नहरमा ४ सय घरटहरा, अतिक्रमण हटाउने आयोजनाको तयारी",https://ekantipur.com/news/2026/04/25/preparations-for-project-to-remove-400-encroachments-on-bagmati-irrigation-canal-01-29.html,2026-04-25T17:04:59+05:45,ekantipur
जुम्लाका दुई पालिका अस्पतालको भवन निर्माणमा ढिलाई,https://ekantipur.com/karnali-pradesh/2026/04/25/delays-in-construction-of-two-municipal-hospitals-in-jumla-01-32.html,2026-04-25T16:20:47+05:45,ekantipur
डा. सतिष रूपाखेतीलाई तत्काल निलम्बन गर्न सिफारिस,https://ekantipur.com/lumbini-pradesh/2026/04/25/dr-satish-rupakheti-recommended-for-immediate-suspension-45-45.html,2026-04-25T15:47:46+05:45,ekantipur
"हुम्लाको सडकमा महँगो भाडा, जोखिमयुक्त यात्रा",https://ekantipur.com/news/2026/04/25/dangerous-roads-make-humli-a-costly-and-difficult-journey-32-04.html,2026-04-25T15:45:04+05:45,ekantipur
थापाथलीका ४ सुकुमवासी परिवारलाई कीर्तिपुरस्थित ‘होल्डिङ सेन्टर’ पठाइयो,https://ekantipur.com/news/2026/04/25/four-families-of-squatters-from-thapathali-sent-to-a-holding-center-in-kirtipur-44-46.html,2026-04-25T15:44:44+05:45,ekantipur
इतिहास र कथालाई एक्लाएक्लै छोड्दा दुवै अधुरो : केशव दाहाल,https://ekantipur.com/koseli/2026/04/25/if-history-and-story-are-left-alone-both-are-incomplete-keshav-dahal-24-01.html,2026-04-25T15:31:11+05:45,ekantipur
उद्यमबाट आत्मनिर्भर बन्दै कर्णालीका महिला,https://ekantipur.com/karnali-pradesh/2026/04/25/women-of-karnali-are-becoming-self-reliant-through-entrepreneurship-17-17.html,2026-04-25T15:25:47+05:45,ekantipur
रामेछापमा संगठन विस्तार गर्दै रास्वपा,https://ekantipur.com/bagmati-pradesh/2026/04/25/rashtriya-swayamsevak-sangh-rss-is-expanding-its-organization-in-ramechhap-25-05.html,2026-04-25T15:25:21+05:45,ekantipur
एनसेलले तेस्रोपटक फाइभजी परीक्षणका लागि माग्यो अनुमति,https://ekantipur.com/news/2026/04/25/ncell-seeks-permission-for-third-5g-trial-08-13.html,2026-04-25T15:22:09+05:45,ekantipur
कविता : प्लेग,https://ekantipur.com/koseli/2026/04/25/poem-plague-37-40.html,2026-04-25T14:48:24+05:45,ekantipur
जेनजी आन्दोलनपछि फरार कैदी-बन्दी धमाधम पक्राउ,https://ekantipur.com/bagmati-pradesh/2026/04/25/prisoners-fleeing-after-genji-protests-are-being-arrested-in-a-hurry-30-18.html,2026-04-25T14:34:33+05:45,ekantipur
भन्सार छलेर भारतबाट ल्याइएका २२ इलेक्ट्रिक स्कुटर नियन्त्रणमा,https://ekantipur.com/business/2026/04/25/22-electric-scooters-imported-from-india-after-evading-customs-seized-23-02.html,2026-04-25T14:23:38+05:45,ekantipur
छथर जोरपाटीका ३९ योजना प्रदेश योजना बैंकमा,https://ekantipur.com/koshi-pradesh/2026/04/25/39-projects-of-chhathar-jorpati-in-the-provincial-planning-bank-34-11.html,2026-04-25T13:52:12+05:45,ekantipur
बाबुको हत्या अभियोगमा छोरा पक्राउ,https://ekantipur.com/lumbini-pradesh/2026/04/25/son-arrested-for-murdering-father-46-39.html,2026-04-25T13:47:59+05:45,ekantipur
सिनामंगल क्षेत्रबाट पनि खाली गरिँदै सुकुमवासी बस्ती [तस्बिरहरू],https://ekantipur.com/photo_feature/2026/04/25/slum-dwellers-being-evacuated-from-sinamangal-area-as-well-photos-46-24.html,2026-04-25T13:46:22+05:45,ekantipur
स्वास्थ्य केन्द्रमा सुविधा नहुँदा पीडामा परेका बेला पोष्टमार्टमको सास्ती,https://ekantipur.com/bagmati-pradesh/2026/04/25/the-pain-of-postmortem-after-the-death-of-a-relative-due-to-lack-of-facilities-at-the-health-center-36-08.html,2026-04-25T13:39:56+05:45,ekantipur
दार्माको ६ दिने स्वास्थ्य शिविरबाट ९ सय ५ जना लाभान्वित,https://ekantipur.com/karnali-pradesh/2026/04/25/905-people-benefited-from-darmas-6-day-health-camp-19-43.html,2026-04-25T13:29:56+05:45,ekantipur
लुम्बिनी राष्ट्रिय रोड रेसमा आर्मीको बर्चस्व,https://ekantipur.com/sports/2026/04/25/army-dominates-lumbini-national-road-race-18-42.html,2026-04-25T13:25:11+05:45,ekantipur
सान्या एसियन बिच गेम्स: नेपाली महिला कबड्डी टिम सेमिफाइनलमा,https://ekantipur.com/sports/2026/04/25/nepali-womens-kabaddi-team-reaches-semifinals-at-sanya-asian-beach-games-23-35.html,2026-04-25T13:24:21+05:45,ekantipur
यूएईविरुद्ध नेपालको २ सय रन,https://ekantipur.com/sports/2026/04/25/nepals-200-runs-against-uae-19-41.html,2026-04-25T13:23:39+05:45,ekantipur
अहिलेसम्म २२ सुकुमवासी परिवारले मात्रै गराए नाम दर्ता,https://ekantipur.com/news/2026/04/25/so-far-only-22-squatter-families-have-registered-their-names-22-07.html,2026-04-25T13:22:05+05:45,ekantipur
दुर्गम गाउँकी 'सरिता सिस्टर'लाई 'नेशनल सोसल वेलफेयर अवार्ड',https://ekantipur.com/news/2026/04/25/sarita-sister-from-remote-village-receives-national-social-welfare-award-14-49.html,2026-04-25T13:14:47+05:45,ekantipur
ऊर्जा र स्वास्थ्य क्षेत्रमा सहकार्य विस्तार गर्ने सिंगापुरको योजना,https://ekantipur.com/world/2026/04/25/singapore-plans-to-expand-cooperation-in-energy-and-health-01-33.html,2026-04-25T13:01:31+05:45,ekantipur
"गाजा संकट गहिरिँदै, मृतक संख्या बढ्दो",https://ekantipur.com/world/2026/04/25/gaza-crisis-deepens-death-toll-rises-56-16.html,2026-04-25T12:56:13+05:45,ekantipur
